fold,band_index,wavelength_nm
1,92,817.8431396484375
1,14,489.0196228027344
1,62,691.37255859375
1,17,501.6666564941406
1,82,775.686279296875
1,99,847.3529663085938
1,16,497.45098876953125
1,93,822.058837890625
1,98,843.1372680664062
1,84,784.11767578125
2,92,817.8431396484375
2,13,484.8039245605469
2,64,699.8038940429688
2,102,860.0
2,11,476.37255859375
2,16,497.45098876953125
2,12,480.5882263183594
2,99,847.3529663085938
2,84,784.11767578125
2,15,493.23529052734375
3,13,484.8039245605469
3,99,847.3529663085938
3,66,708.2352905273438
3,72,733.5294189453125
3,15,493.23529052734375
3,83,779.9019775390625
3,101,855.7843017578125
3,16,497.45098876953125
3,81,771.4705810546875
3,82,775.686279296875
