features,fold,R2,RMSE_C,MAE_C,Hotspot_F1
MSI,1,0.32190282355694255,3.6188468149935282,2.484682379937896,0.1475204017576899
MSI,2,0.4139361021321204,3.003415232880723,2.230522013377266,0.2468729427254773
MSI,3,0.2950837082629121,4.0344632033881185,2.5987455533276207,0.12128212532486284
MSI,4,0.43791119059982175,3.375714973783945,2.417949496667271,0.12486064659977704
MSI,5,0.4627173808388376,3.061451460568592,2.1322307567076817,0.12895226286422815
MSI+HSI,1,0.47454560726576356,3.1856036876476472,2.1680696545300213,0.36467095497278573
MSI+HSI,2,0.5509418245299665,2.6290218661403535,1.8953743293133891,0.48902305159165754
MSI+HSI,3,0.4133646423133186,3.6804515285783768,2.3327234093973526,0.3415621205989478
MSI+HSI,4,0.5373714248162493,3.062524190271349,2.189076378410245,0.4647887323943662
MSI+HSI,5,0.5855844745228607,2.688710176295773,1.9065986577088527,0.4110599078341014
