fold,band_index,wavelength_nm
1,244,2051.929931640625
1,143,1116.93994140625
1,320,2429.60009765625
1,309,2375.0400390625
1,247,2066.8701171875
1,254,2101.719970703125
1,64,720.9500122070312
1,245,2056.909912109375
1,72,761.02001953125
1,251,2086.7900390625
2,250,2081.81005859375
2,72,761.02001953125
2,312,2389.929931640625
2,318,2419.679931640625
2,315,2404.81005859375
2,308,2370.080078125
2,254,2101.719970703125
2,245,2056.909912109375
2,251,2086.7900390625
2,248,2071.85009765625
3,309,2375.0400390625
3,72,761.02001953125
3,247,2066.8701171875
3,254,2101.719970703125
3,145,1126.969970703125
3,248,2071.85009765625
3,313,2394.889892578125
3,250,2081.81005859375
3,322,2439.52001953125
3,246,2061.889892578125
